2011
January,22.4(10.3),24.8(5.4),241.0
February,28.7(12.7),27.0(4.8),209.0
March,22.7(10.6),24.5(4.7),207.4
April,20.7(11.6),20.6(5.0),144.2
May,17.3(10.7),16.8(4.6),107.1
June,20.3(11.7),14.7(3.4),71.7
July,19.9(13.4),13.0(3.9),70.6
August,18.7(13.7),14.3(4.2),122.8
September,18.6(12.5),14.6(3.9),146.3
October,19.2(11.7),18.0(4.3),182.8
November,22.9(11.0),19.7(4.6),211.2
December,23.2(10.6),23.3(4.8),231.0
